  
[Level 1]

@@@###@@@###@@@ | @@@###@@@###@@@ | @@@###@@@###@@@ | @@@###@@@###@@@
@@@###@@@###@@@ | @@@###@@@###@@@ | @@@###@@@###@@@ | @@@###@@@###@@@
@@@###@@@###@@@ | @@@###@@@###@@@ | @@@###@@@###@@@ | @@@###@@@###@@@
###@@@###@@@### | ###@@@###@@@### | ###@@@###@@@### | ###@@@###@@@###
###@       @### | ###@       @### | ###@            |         #@@@###
###@ @###@ @### | ###@       @### | ###@ @###@ @### | ###@    #@@@###
@@@# #@@@# #@@@ | @@@#       #@@@ | @@@# #@@@# #@@@ | @@@#    @###@@@
@@@# #@@@#      |                 |      #@@@# #@@@ | @@@#       #@@@
@@@# #@@@# #@@@ | @@@#       #@@@ | @@@# #@@@# #@@@ | @@@#       #@@@
###@ @###@ @### | ###@       @### | ###@ @###@ @### | ###@       @###
###@       @### | ###@       @### | ###@       @### | ###@       @###
###@@@# #@@@### | ###@@@###@@@### | ###@ @###@@@### | ###@@@###@ @###
@@@###@ @###@@@ | @@@###@@@###@@@ | @@@# #@@@###@@@ | @@@###@@@# #@@@
@@@###@ @###@@@ | @@@###@@@###@@@ | @@@# #@@@###@@@ | @@@###@@@# #@@@
@@@###@ @###@@@ | @@@###@@@###@@@ | @@@# #@@@###@@@ | @@@###@@@# #@@@

@@@###@ @###@@@ | @@@###@@@###@@@ | @@@# #@@@###@@@ | @@@###@@@# #@@@
@@@###@ @###@@@ | @@@###@@@###@@@ | @@@# #@@@###@@@ | @@@###@@@# #@@@
@@@###@ @###@@@ | @@@###@@@###@@@ | @@@# #@@@###@@@ | @@@###@@@# #@@@
###@@@# #@@@### | ###@@@###@@@### | ###@ @###@@@### | ###@@@###@ @###
###@       @### | ###@       @### | ###@       @### | ###@       @###
###@ @# #@ @### | ###@       @### | ###@ @###@ @### | ###@       @###
@@@# #@ @# #@@@ | @@@#       #@@@ | @@@# #@@@# #@@@ | @@@#       #@@@
@@@#            |     x           |      #@@@# #@@@ | @@@#       #@@@
@@@# #@ @# #@@@ | @@@#    @###@@@ | @@@# #@@@# #@@@ | @@@#       #@@@
###@ @# #@ @### | ###@    #@@@### | ###@ @###@ @### | ###@       @###
###@       @### | ###@          # | ###@       @### | ###@       @###
###@@@###@@@### | ###@@@###@@@# # | ###@@@###@@@### | ###@@@###@@@###
@@@###@@@###@@@ | @@@###@@@###@ @ | @@@###@@@###@@@ | @@@###@@@###@@@
@@@###@@@###@@@ | @@@###@@@###@ @ | @@@###@@@###@@@ | @@@###@@@###@@@
@@@###@@@###@@@ | @@@###@@@###@ @ | @@@###@@@###@@@ | @@@###@@@###@@@

@@@###@@@###@@@ | @@@###@@@###@ @ | @@@###@@@###@@@ | @@@###@@@###@@@
@@@###@@@###@@@ | @       @###@ @ | @@@###@@@###@@@ | @@@###@@@###@@@
@@@###@@@###@@@ | @ @###@ @###@ @ | @@@###@@@###@@@ | @@@###@@@###@@@
###@@@###@@@### | # #@@@# #@@@# # | ###@@@###@@@### | ###@@@###@@@###
###@       @### | # #@@@# #@    # | ###@@@###@@@### | ###@       @###
###@ @###@ @### | # #@@@# #@ @### | ###@@@###@@@### | ###@ @###@ @###
