  
[Level 1]

@@@###@@@###@@@ | @@@###@@@###@@@ | @@@###@@@###@@@ | @@@###@@@###@@@
@@@###@@@###@@@ | @@@###@@@###@@@ | @@@###@@@###@@@ | @@@#       #@@@
@@@###@@@###@@@ | @@@###@@@###@@@ | @@@###@@@###@@@ | @@@# #@ @# #@@@
###@@@###@@@### | ###@@@###@@@### | ###@@@###@@@### | ###@ @# #@ @###
###@       @### | ###@       @### | ###@       @### | #    @# #@    #
###@ @###@ @### | ###@ @###@ @### | ###@       @### | # #@@@# #@@@# #
@@@# #@@@# #@@@ | @@@# #@@@# #@@@ | @@@#       #@@@ | @ @###@ @###@ @
@    #@@@#      |      #@@@#      |                 |               @
@@@# #@@@# #@@@ | @@@###@@@#    @ | @@@#       #@@@ | @ @###@ @###@ @
###@ @###@ @### | ###@@@###@    # | ###@       @### | # #@@@# #@@@# #
###@       @### | ###@@@###@    # | ###@       @### | #    @# #@    #
###@@@# #@@@### | ###@@@###@    # | ###@@@###@@@### | ###@ @# #@ @###
@@@###@ @###@@@ | @@@###@@@#    @ | @@@###@@@###@@@ | @@@# #@ @# #@@@
@@@###@ @###@@@ | @@@###@       @ | @@@###@@@###@@@ | @@@#       #@@@
@@@###@ @###@@@ | @@@###@ @###@@@ | @@@###@@@###@@@ | @@@###@ @###@@@

@@@###@ @###@@@ | @@@###@ @###@@@ | @@@###@@@###@@@ | @@@###@ @###@@@
@ @#    @#    @ | @       @#    @ | @             @ | @@@###@ @###@@@
@ @###@ @# #@ @ | @ @###@@@# #@ @ | @ @###@ @###@ @ | @@@###@ @###@@@
# #@@@# #@ @# # | # #@@@###@ @# # | # #@@@# #@@@# # | ###@@@# #@@@###
#       #@ @# # | # #@       @# # | #    @# #@    # | #          @# #
#       #@ @# # | # #@ @###@ @# # | #    @###@ @# # | # #@@@###@ @# #
@       @# #@ @ | @ @# #@@@# #@ @ | @    #@@@# #@ @ | @ @###@@@# #@ @
@          #@ @ | @ @#    @# #@   |            #@   |   @###@@@# #@ @
@ @###@@@###@ @ | @ @# #@@@# #@ @ | @ @###@@@###@ @ | @@@###@@@# #@ @
# #@@@###@@@# # | # #@ @###@ @# # | # #@@@###@@@# # | ###@@@###@ @# #
#             # | # #@       @# # | #    @#       # | ###@@@###@    #
###@@@#       # | # #@@@###@ @# # | #    @# #@@@# # | ###@@@###@    #
@@@###@       @ | @ @###@@@# #@ @ | @    #@ @###@ @ | @@@###@@@#    @
@             @ | @       @#    @ | @       @#    @ | @             @
@@@###@ @###@@@ | @@@###@ @###@@@ | @@@###@ @###@@@ | @@@###@ @###@@@

@@@###@ @###@@@ | @@@###@ @###@@@ | @@@###@ @###@@@ | @@@###@ @###@@@
@@@###@ @###@@@ | @             @ | @@@###@ @###@@@ | @@@###@ @###@@@
@@@###@ @###@@@ | @ @###@ @###@ @ | @@@###@ @###@@@ | @@@###@ @###@@@
###@@@# #@@@### | # #@@@# #@@@# # | ###@@@# #@@@### | ###@@@# #@@@###
###@@@# #@@@### | # #@       @# # | #    @#       # | #             #
###@@@# #@@@### | # #@@@# #@@@# # | #    @# #@@@# # | ###@@@# #@@@###
@@@###@ @###@@@ | @ @###@ @###@ @ | @    #@ @###@ @ | @@@###@ @###@@@
@               |      #@ @#      |      #@ @###@ @ | @             @
@@@###@ @###@@@ | @ @###@ @###@ @ | @ @###@ @###@ @ | @@@###@ @###@@@
###@@@# #@@@### | # #@@@# #@@@# # | # #@@@# #@@@# # | ###@@@# #@@@###
###@@@# #@@@### | # #@       @# # | # #@@@# #@@@# # | ###@       @###
###@@@# #@@@### | # #@@@# #@@@# # | # #@@@# #@@@# # | ###@       @###
@@@###@ @###@@@ | @ @###@ @###@ @ | @ @###@ @###@ @ | @@@#       #@@@
@@@###@ @###@@@ | @             @ | @             @ | @@@#       #@@@
@@@###@ @###@@@ | @@@###@ @###@@@ | @@@###@@@###@@@ | @@@###@ @###@@@

@@@###@ @###@@@ | @@@###@ @###@@@ | @@@###@@@###@@@ | @@@###@ @###@@@
@             @ | @@@###@ @###@@@ | @@@###@ @###@@@ | @@@###@ @###@@@
@ @###@       @ | @@@###@ @###@@@ | @@@###@ @###@@@ | @@@###@ @###@@@
# #@@@#       # | ###@@@# #@@@### | ###@@@# #@@@### | ###@@@# #@@@###
# #@          # | ###@       @### | #       #@@@### | # #@@@#       #
# #@ @###@@@### | ###@       @### | # #@@@# #@@@### | # #@@@###@@@# #
@ @# #@@@###@@@ | @@@#       #@@@ | @ @###@ @###@@@ | @ @###@@@###@ @
@ @#    @#      |            #@@@ | @ @###@         |            #@ @
@ @###@ @#    @ | @@@#       #@@@ | @ @###@@@# #@@@ | @ @###@    #@ @
# #@@@# #@    # | ###@       @### | # #@@@###@ @### | # #@@@#    @# #
#    @# #@    # | ###@       @### | # #@@@###@ @### | # #@       @# #
#    @# #@    # | ###@@@###@@@### | # #@@@###@ @### | # #@@@###@@@# #
@    #@ @#    @ | @@@###@@@###@@@ | @ @###@@@# #@@@ | @ @###@@@###@ @
@             @ | @@@###@@@###@@@ | @          #@@@ | @             @
@@@###@@@###@@@ | @@@###@@@###@@@ | @@@###@@@###@@@ | @@@###@@@###@@@

